50,77,-61,1465448,180106,179543,63012,27651,113950,56368,5590
66,69,11,6513,14771,6598,5858,7376,10909,2967,4582
47,67,92,229469,262139,79575,37371,11880,15185,7908,6054
37,48,23,57711,6753,2681,745,207,855,465,107
0,0,-2048,1675960,90146,18477,134290,214307,152316,186235,47567
35,37,-62,1639421,270762,8139,11108,18355,21924,39532,7297
38,64,-24,2272264,450106,144864,83148,64192,46598,34923,14788
13,50,-1,757844,443301,121375,32181,19282,50657,143410,15451
88,54,8,29031,36144,26311,9467,13468,18099,26288,9557
51,41,11,1071485,180000,26390,14493,8695,75667,35687,21219
66,51,27,18021,14589,1997,3068,2415,4622,3329,1842
21,50,-29,489136,188809,34784,7746,7413,19108,22202,4724
30,77,60,1651,10943,20811,3736,4271,4687,2264,1460
43,56,61,271373,59594,9228,6950,5441,18461,2598,3372
91,61,12,621850,62615,37834,11541,7539,55794,22630,11098
43,54,-57,1311852,71864,15098,5206,7509,17756,7407,7067
48,35,-11,475410,503386,13752,5472,30775,65009,40936,15349
70,50,8,5469,14907,1171,19189,17670,10450,13421,4580
8,48,-89,336505,823909,142218,133954,23505,40991,36841,27764
60,50,375,83010,80984,6601,9439,19459,39669,11070,13873
0,0,-2048,443695,259945,7450,95812,32023,226421,276474,68127
77,53,70,2205,13969,9582,8718,13751,37743,36973,11222
23,38,137,1221977,264033,39342,33458,13865,7543,47837,13763
0,0,2047,643179,98490,10425,37168,30689,167094,388477,123933
51,47,40,568904,85724,5899,6281,8669,15487,10301,8420
0,0,178,9528,148692,35353,5984,8964,90705,3860,710
24,67,-38,2648404,118835,159650,140282,126728,25243,41011,40748
29,69,279,2105609,72243,318877,189824,30909,91822,32034,2730
29,61,-98,540211,87593,11606,26640,5123,2888,7247,1878
78,54,-14,10249,21720,5052,6813,22611,29323,13665,11254
50,50,529,525774,7658,10855,20020,13982,10011,8322,1066
0,0,2047,488510,128266,49793,29402,57275,117218,283379,90605
54,64,-5,241373,101092,39501,4822,3268,13309,15188,4772
29,67,-214,1232801,331021,53906,140484,80132,30057,37369,94803
48,57,42,130350,10362,3704,3283,2504,1964,1606,187
44,74,55,21277,22023,9148,7261,7391,5451,2602,3351
63,74,9,856773,46002,11171,37886,5148,24443,15883,2304
29,60,38,331967,69872,15027,4741,15173,3326,7167,6654
0,0,2047,62793,60824,5633,21394,5900,195627,65884,27162
38,66,12,702689,477061,34266,124455,23388,45446,10616,9812
44,78,-37,372188,6602,3798,12479,7976,1846,1839,1054
51,54,52,1114390,20359,20711,12781,6557,26070,2096,812
63,50,20,769493,444702,65200,35967,54817,28289,19036,10256
41,44,48,613769,1473310,24118,225306,58131,96859,67858,18813
20,30,-85,221386,515143,35885,29204,9122,21829,6325,3517
37,77,4,6776,7858,5639,9621,3509,5302,1723,1644
16,56,121,1055366,925849,94170,35529,42229,75492,37600,25720
20,40,178,864476,247878,184132,34152,23979,30449,17655,5344
63,61,16,596824,38494,7715,3145,3714,2716,1021,758
69,53,115,818767,252500,10190,31119,72958,31915,20960,17805
51,30,-1772,1170646,941171,115768,209184,406830,95625,28934,39924
24,64,41,666437,37580,14106,2100,4326,4213,3783,2902
44,40,-69,1081211,497772,17458,113797,51773,32107,33405,11518
38,69,290,1732513,134652,4764,94163,17935,45261,42790,5468
0,0,-1335,23691,75540,4395,2024,16944,9537,1884,3441
38,44,3,507152,121558,11196,9523,4896,5458,5260,3854
37,66,26,302736,167088,9183,10959,18854,5327,5664,3809
61,35,-281,413359,392415,46595,32599,48232,40392,46144,38745
44,61,4,1384122,90207,62453,77291,88897,24854,6150,1495
57,50,43,1394174,210386,17777,43892,9121,50836,13833,6095
67,50,4,89000,11385,1978,1434,1392,2475,2296,930
0,0,2039,50912,48877,2026,7246,4813,3098,1802,2561
0,0,-551,350128,134455,123189,88974,25451,406676,239469,113137
64,67,50,9675,10539,6557,14623,8017,7324,14425,5951
16,27,57,777407,110867,1795,9307,18255,4203,773,1551
0,0,298,115577,2478,163,1065,413,2823,373,140
35,63,35,543493,74963,97133,51128,32634,6770,5256,1899
41,26,17,1571787,135820,19399,31774,12187,12585,21780,4364
0,0,-2048,1557827,201040,158308,112249,68229,66556,66155,137373
11,63,71,1450712,19602,19056,18137,7568,5503,2085,1330
41,74,61,11339,4933,12785,26089,6847,2341,3696,3959
43,40,101,190728,277988,36477,13136,10915,16087,8541,1823
38,70,-5,79480,67167,26447,15829,9839,3120,1103,340
21,77,-2,14238,20473,29903,4084,6655,3789,3669,3316
0,0,-8,74488,3933,316,878,561,2200,83,102
69,80,51,430640,22108,21820,31468,8298,11081,4293,3049
54,66,22,166571,70295,16802,9287,10264,6645,3201,3364
48,51,34,374156,63505,15041,9317,8337,18482,12090,8062
0,0,-1769,385226,351730,173088,190070,153940,65147,98236,57636
0,0,1801,476148,307689,233631,113441,76032,124434,111439,71075
17,50,44,135377,174252,97816,26010,29118,21079,50933,11988
37,54,263,1614340,186523,136515,36234,89974,27998,10960,7344
16,64,-1,1407695,195723,107080,57638,76295,45892,79163,32168
43,43,-19,213114,150613,18657,15228,16819,57055,38502,18311
53,47,59,194891,279346,9878,14951,4072,21725,5482,5583
0,0,1164,225597,280425,197950,65330,84456,103846,67006,71278
51,57,64,983051,140967,10092,18701,9584,12985,7051,1943
61,44,27,3555,2061,4085,16312,8788,6366,1832,1883
60,74,-10,47656,124567,13165,7405,7983,34903,19090,6496
20,51,281,123781,163866,57772,40555,44789,20473,40457,27734
75,40,102,715719,12560,29233,10408,1577,54048,871,704
16,66,154,536944,314591,157548,72541,8051,41987,9819,4988
1,70,6,744600,95477,8723,65662,21764,26004,46497,30406
0,0,2047,752759,385921,100699,32176,21920,372051,133846,47291
24,81,-40,725650,10587,3211,25706,2566,3833,4973,483
78,56,210,764879,387034,36358,44839,10574,111477,51353,3748
21,44,487,318420,17836,7510,11394,5754,2692,1924,1446
67,66,27,14967,9915,7282,5922,6695,8657,1667,2297
0,0,2047,558545,161085,59067,88348,10233,278815,436235,132302
48,47,36,1062360,213979,30251,93169,49064,97425,126365,5350
44,40,-157,1910799,685814,48797,39209,28498,48042,13664,5709
0,0,225,1008843,17196,1936,4464,2067,28443,14257,459
40,57,-411,309867,108157,16097,12273,4455,17706,25529,901
51,70,2,29513,36037,17400,4902,6480,4503,3997,4797
38,51,85,15747,54349,9213,15762,15802,6863,3681,3273
44,56,-2,1494042,310252,129517,23026,43743,44728,20877,18383
50,56,38,26417,5678,11271,13113,17008,7086,8714,5931
61,51,-11,348293,110364,23464,4229,6982,4943,8629,4207
51,54,45,779682,127848,65221,17478,7792,11583,15303,2319
69,50,11,105516,80688,26682,5233,2603,47716,55810,16891
0,0,-2048,77663,68668,17620,13028,18547,160624,47341,10253
75,67,40,45529,10871,1901,3706,2939,2679,1129,1457
0,0,-116,1300530,209051,269010,24494,46448,25530,23114,3769
34,35,68,772636,124429,6229,25148,19187,32482,46486,18573
57,21,52,140820,108468,6635,1223,6276,7921,3720,1339
90,63,-99,397826,100403,43138,5493,21828,17400,10034,11999
0,0,1136,72899,143141,3436,9340,5493,7245,5121,2901
47,44,-23,2966418,237191,42710,46790,8134,267010,27373,5874
47,35,-135,134343,58156,11934,1353,9090,4718,1416,1156
43,51,-17,1261056,240595,95766,13443,55023,32536,14089,6820
37,27,32,882709,220993,39877,16679,60359,42758,94739,50771
57,56,135,1160810,163920,27245,57147,27273,13119,3130,3665
43,61,13,335582,213303,5719,38931,12327,13696,5918,4983
48,43,69,14724,28211,433,7234,3527,5299,1614,2251
29,67,9,262306,48054,8772,3364,6798,3599,1786,718
40,61,189,198178,107860,21606,23638,7454,11400,5150,1241
56,64,247,764800,95920,45375,78194,86059,28283,30939,10144
1,1,-664,857052,151980,37143,15899,34853,26472,26285,8696
53,57,5,9562,10923,7193,1895,6119,3698,4842,6351
47,66,12,159125,50047,3011,3300,12003,3911,2101,547
4,80,3,1167087,139552,45769,137861,18407,8962,12198,12567
21,63,-49,203634,71749,24087,32460,19790,11331,9164,1986
0,0,-2048,566815,242912,43491,10525,6737,227711,169510,17025
43,57,-84,646846,356707,62846,19576,26012,18762,10215,5251
54,77,28,11841,11122,7085,10050,5928,20973,11244,3358
20,64,39,4356,5349,6909,6367,3312,2201,1236,1134
60,47,-220,441941,29947,6895,8601,4936,3126,1942,1526
69,24,-257,414481,17335,22961,16557,19389,19231,3362,1328
26,67,163,250700,49068,9383,7625,3406,11758,14610,2565
63,53,59,9540,7354,3218,3627,7054,6082,3203,2308
0,0,422,257801,344623,3840,15168,32026,19174,8931,7840
57,38,-17,797316,27368,5775,2484,19576,9637,12103,3229
63,50,-54,1250651,76466,16450,7625,11796,40910,22831,4003
48,69,-78,1384836,370708,22417,166857,19338,107217,97751,8266
70,66,0,9500,8306,6204,1594,5668,3591,7076,3496
51,63,-56,851895,267242,46952,13321,22411,20080,7784,2557
44,60,90,1078199,134071,33803,30499,10439,6932,9510,5551
0,0,1680,187161,289622,13103,20949,37680,20233,12214,12947
0,0,2047,1397785,178865,91362,130799,97149,112023,54144,60489
50,66,45,5004,7130,1124,11340,2727,6048,3617,2356
29,67,33,1045603,77915,7146,45655,5084,9081,13234,2992
57,57,50,789830,201407,48361,45948,12434,16074,6462,3117
75,75,132,32402,8125,9018,23974,14399,7217,1278,4954
47,30,180,509680,18781,26488,7821,7119,10548,5563,2479
56,51,44,311325,19754,6724,3249,1163,3434,2009,401
48,66,-43,14511,28110,23546,2541,10676,22909,10209,10769
26,57,-21,2356075,871516,62360,77800,51212,61182,27285,14697
21,14,-125,560695,268689,35465,1051,24043,15785,23486,15845
0,0,2047,132272,415545,64654,53029,45753,171147,255240,150248
63,34,6,11571,20726,1150,4247,3926,5107,3730,5140
60,44,33,383834,110099,10419,12109,4974,6633,5867,1538
